english,lik,sa_lik,siz,sa_siz,ca,sa_ca,ci,sa_ci
picture and vase,tabloluk ve vazoluk,tablo ve vazoluk,tablosuz ve vazosuz,tablo ve vazosuz,tabloca ve vazoca,tablo ve vazoca,tablocu ve vazocu,tablo ve vazocu
hill and river,tepelik ve nehirlik,tepe ve nehirlik,tepesiz ve nehirsiz,tepe ve nehirsiz,tepece ve nehirce,tepe ve nehirce,tepeci ve nehirci,tepe ve nehirci
school and mosque,okulluk ve camilik,okul ve camilik,okulsuz ve camisiz,okul ve camisiz,okulca ve camice,okul ve camice,okulcu ve camici,okul ve camici
night and day,gecelik ve gündüzlük,gece ve gündüzlük,gecesiz ve gündüzsüz,gece ve gündüzsüz,gecece ve gündüzce,gece ve gündüzce,gececi ve gündüzcü,gece ve gündüzcü
top and bottom,altlık ve üstlük,alt ve üstlük,altsız ve üstsüz,alt ve üstsüz,altça ve üstçe,alt ve üstçe,altçı ve üstçü,alt ve üstçü
husband and wife,kocalık ve karılık,koca ve karılık,kocasız ve karısız,koca ve karısız,kocaca ve karıca,koca ve karıca,kocacı ve karıcı,koca ve karıcı
knife and tablecloth,örtülük ve bıçaklık,örtü ve bıçaklık,örtüsüz ve bıçaksız,örtü ve bıçaksız,örtüce ve bıçakça,örtü ve bıçakça,örtücü ve bıçakçı,örtü ve bıçakçı
eyes and ears,gözlük ve kulaklık,göz ve kulaklık,gözsüz ve kulaksız,göz ve kulaksız,gözce ve kulakça,göz ve kulakça,gözcü ve kulakçı,göz ve kulakçı
nose and neck,burunluk ve boyunluk,burun ve boyunluk,burunsuz ve boyunsuz,burun ve boyunsuz,burunca ve boyunca,burun ve boyunca,buruncu ve boyuncu,burun ve boyuncu
ghost and monster,hayaletlik ve canavarlık,hayalet ve canavarlık,hayaletsiz ve canavarsız,hayalet ve canavarsız,hayaletçe ve canavarca,hayalet ve canavarca,hayaletçi ve canavarcı,hayalet ve canavarcı
jungle and desert,ormanlık ve çöllük,orman ve çöllük,ormansız ve çölsüz,orman ve çölsüz,ormanca ve çölce,orman ve çölce,ormancı ve çölcü,orman ve çölcü
banana and carrot,muzluk ve havuçluk,muz ve havuçluk,muzsuz ve havuçsuz,muz ve havuçsuz,muzca ve havuçça,muz ve havuçça,muzcu ve havuççu,muz ve havuççu
doctor and lawyer,doktorluk ve avukatlık,doktor ve avukatlık,doktorsuz ve avukatsız,doktor ve avukatsız,doktorca ve avukatça,doktor ve avukatça,doktorcu ve avukatçı,doktor ve avukatçı
dragon and fairy,ejderhalık ve perilik,ejderha ve perilik,ejderhasız ve perisiz,ejderha ve perisiz,ejderhaca ve perice,ejderha ve perice,ejderhacı ve perici,ejderha ve perici
blanket and carpet,battaniyelik ve halılık,battaniye ve halılık,battaniyesiz ve halısız,battaniye ve halısız,battaniyece ve halıca,battaniye ve halıca,battaniyeci ve halıcı,battaniye ve halıcı
socks and shoes,çoraplık ve ayakkabılık,çorap ve ayakkabılık,çorapsız ve ayakkabısız,çorap ve ayakkabısız,çorapça ve ayakkabıca,çorap ve ayakkabıca,çorapçı ve ayakkabıcı,çorap ve ayakkabıcı
wedding and funeral,düğünlük ve cenazelik,düğün ve cenazelik,düğünsüz ve cenazesiz,düğün ve cenazesiz,düğünce ve cenazece,düğün ve cenazece,düğüncü ve cenazeci,düğün ve cenazeci
