completionCode,trialNum,itemNum,condition,Value,sentence,rating
CO439307,37,108,ungram,oldukça kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,1
CO439307,38,215,gram,kötü,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,2
CO439307,40,110,ungram,oldukça kötü,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,1
CO439307,41,113,ungram,kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,2
CO439307,43,232,gram,oldukça iyi,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,6
CO439307,44,117,ungram,oldukça iyi,Mimarın tecrübeli olması herkesin işini daha kolaydı.,6
CO439307,46,219,gram,oldukça iyi,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,6
CO439307,47,105,ungram,kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,2
CO439307,49,111,ungram,oldukça kötü,Zabıtalar işportacının ceza aldıklarına duydu.,1
CO439307,50,109,ungram,kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,2
CO439307,52,112,ungram,kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,2
CO439307,53,106,ungram,kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,2
CO439307,55,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO439307,56,208,gram,oldukça iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,6
CO439307,58,121,ungram,kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,2
CO439307,59,236,gram,oldukça iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,6
CO439307,61,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO439307,62,213,gram,kötü sayılır,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,3
CO439307,64,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO439307,65,217,gram,iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,5
CO439307,67,234,gram,oldukça iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,6
CO439307,68,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO439307,70,233,gram,oldukça iyi,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,6
CO439307,71,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO439307,73,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO439307,74,225,gram,oldukça iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,6
CO439307,76,119,ungram,oldukça kötü,Geminin limana yanaşmak için yavaşlamalıyım.,1
CO439307,77,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO439307,79,102,ungram,oldukça kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,1
CO439307,80,229,gram,kötü sayılır,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,3
CO439307,82,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO439307,83,211,gram,oldukça iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,6
CO439307,85,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO439307,86,221,gram,oldukça iyi,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,6
CO439307,88,222,gram,oldukça iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,6
CO439307,89,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO439307,91,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO439307,92,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO439307,94,216,gram,oldukça iyi,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,6
CO439307,95,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO695316,1,106,ungram,oldukça kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,1
CO695316,2,114,ungram,oldukça kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,1
CO695316,4,105,ungram,oldukça kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,1
CO695316,5,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO695316,7,110,ungram,oldukça kötü,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,1
CO695316,8,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO695316,10,233,gram,iyi sayılır,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,4
CO695316,11,224,gram,oldukça iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,6
CO695316,13,232,gram,kötü sayılır,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,3
CO695316,14,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO695316,16,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO695316,17,220,gram,oldukça iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,6
CO695316,19,102,ungram,oldukça kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,1
CO695316,20,221,gram,oldukça iyi,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,6
CO695316,22,201,gram,iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,5
CO695316,23,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO695316,25,216,gram,oldukça iyi,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,6
CO695316,26,116,ungram,iyi,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,5
CO695316,28,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO695316,29,219,gram,oldukça iyi,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,6
CO695316,31,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO695316,32,203,gram,oldukça iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,6
CO695316,34,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO695316,35,205,gram,kötü,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,2
CO695316,37,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO695316,38,237,gram,oldukça iyi,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,6
CO695316,40,213,gram,oldukça iyi,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,6
CO695316,41,101,ungram,oldukça kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,1
CO695316,43,214,gram,oldukça iyi,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,6
CO695316,44,119,ungram,oldukça kötü,Geminin limana yanaşmak için yavaşlamalıyım.,1
CO695316,46,208,gram,oldukça iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,6
CO695316,47,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO695316,49,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO695316,50,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO695316,52,122,ungram,oldukça kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,1
CO695316,53,108,ungram,oldukça kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,1
CO695316,55,107,ungram,kötü,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,2
CO695316,56,209,gram,oldukça iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,6
CO695316,58,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO695316,59,236,gram,oldukça iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,6
CO695316,61,111,ungram,oldukça kötü,Zabıtalar işportacının ceza aldıklarına duydu.,1
CO695316,62,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO695316,64,120,ungram,oldukça kötü,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,1
CO695316,65,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO695316,67,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO695316,68,104,ungram,oldukça kötü,Metin yeni çıkan romanı ve gazete okudu.,1
CO695316,70,234,gram,oldukça iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,6
CO695316,71,112,ungram,oldukça kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,1
CO695316,73,240,gram,oldukça iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,6
CO695316,74,238,gram,oldukça iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,6
CO695316,76,217,gram,oldukça iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,6
CO695316,77,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO695316,79,121,ungram,oldukça kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,1
CO695316,80,113,ungram,oldukça kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,1
CO695316,82,222,gram,oldukça iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,6
CO695316,83,229,gram,oldukça iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,6
CO695316,85,225,gram,iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,5
CO695316,86,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO695316,88,215,gram,oldukça iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,6
CO695316,89,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO695316,91,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
CO695316,92,211,gram,oldukça iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,6
CO695316,94,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO695316,95,117,ungram,oldukça kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,1
CO448745,1,229,gram,iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,5
CO448745,3,223,gram,iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,5
CO448745,4,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
CO448745,6,221,gram,oldukça iyi,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,6
CO448745,7,219,gram,iyi sayılır,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,4
CO448745,9,119,ungram,oldukça kötü,Geminin limana yanaşmak için yavaşlamalıyım.,1
CO448745,10,217,gram,iyi sayılır,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,4
CO448745,12,121,ungram,oldukça kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,1
CO448745,13,120,ungram,kötü sayılır,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,3
CO448745,15,110,ungram,kötü,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,2
CO448745,16,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO448745,18,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO448745,19,232,gram,iyi sayılır,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,4
CO448745,21,215,gram,iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,5
CO448745,22,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO448745,24,224,gram,iyi sayılır,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,4
CO448745,25,209,gram,iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,5
CO448745,27,214,gram,kötü sayılır,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,3
CO448745,28,101,ungram,kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,2
CO448745,30,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO448745,31,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO448745,33,111,ungram,kötü,Zabıtalar işportacının ceza aldıklarına duydu.,2
CO448745,34,112,ungram,kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,2
CO448745,36,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO448745,37,105,ungram,kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,2
CO448745,39,213,gram,iyi sayılır,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,4
CO448745,40,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO448745,42,205,gram,oldukça iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,6
CO448745,43,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO448745,45,201,gram,iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,5
CO448745,46,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO448745,48,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO448745,49,225,gram,oldukça iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,6
CO448745,51,106,ungram,oldukça kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,1
CO448745,52,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO448745,54,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO448745,55,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO448745,57,237,gram,iyi,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,5
CO448745,58,238,gram,iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,5
CO448745,60,208,gram,oldukça iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,6
CO448745,61,216,gram,iyi,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,5
CO448745,63,240,gram,iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,5
CO448745,64,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO448745,66,102,ungram,oldukça kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,1
CO448745,67,211,gram,oldukça iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,6
CO448745,69,236,gram,oldukça iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,6
CO448745,70,233,gram,oldukça iyi,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,6
CO448745,72,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO448745,73,108,ungram,oldukça kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,1
CO448745,75,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO448745,76,117,ungram,kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,2
CO448745,78,227,gram,iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,5
CO448745,79,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO448745,81,107,ungram,kötü,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,2
CO448745,82,220,gram,iyi sayılır,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,4
CO448745,84,234,gram,oldukça iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,6
CO448745,85,113,ungram,kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,2
CO448745,87,116,ungram,iyi,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,5
CO448745,88,222,gram,oldukça iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,6
CO448745,90,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO448745,91,114,ungram,kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,2
CO448745,93,122,ungram,kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,2
CO448745,94,104,ungram,kötü,Metin yeni çıkan romanı ve gazete okudu.,2
CO448745,96,203,gram,iyi sayılır,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,4
CO202632,1,222,gram,iyi sayılır,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,4
CO202632,3,119,ungram,oldukça kötü,Geminin limana yanaşmak için yavaşlamalıyım.,1
CO202632,4,240,gram,iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,5
CO202632,6,225,gram,iyi sayılır,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,4
CO202632,7,236,gram,iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,5
CO202632,9,233,gram,iyi sayılır,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,4
CO202632,10,116,ungram,oldukça kötü,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,1
CO202632,12,102,ungram,kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,2
CO202632,13,104,ungram,kötü sayılır,Metin yeni çıkan romanı ve gazete okudu.,3
CO202632,15,234,gram,oldukça iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,6
CO202632,16,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
CO202632,18,112,ungram,oldukça kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,1
CO202632,19,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO202632,21,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO202632,22,205,gram,iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,5
CO202632,24,101,ungram,oldukça kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,1
CO202632,25,121,ungram,kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,2
CO202632,27,214,gram,kötü sayılır,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,3
CO202632,28,237,gram,oldukça iyi,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,6
CO202632,30,220,gram,oldukça iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,6
CO202632,31,107,ungram,oldukça kötü,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,1
CO202632,33,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO202632,34,215,gram,oldukça kötü,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,1
CO202632,36,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO202632,37,114,ungram,oldukça kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,1
CO202632,39,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO202632,40,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO202632,42,113,ungram,oldukça kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,1
CO202632,43,213,gram,oldukça iyi,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,6
CO202632,45,108,ungram,kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,2
CO202632,46,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO202632,48,203,gram,oldukça iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,6
CO202632,49,120,ungram,iyi sayılır,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,4
CO202632,51,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO202632,52,219,gram,oldukça iyi,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,6
CO202632,54,224,gram,oldukça iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,6
CO202632,55,105,ungram,oldukça kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,1
CO202632,57,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO202632,58,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO202632,60,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO202632,61,106,ungram,oldukça kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,1
CO202632,63,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO202632,64,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO202632,66,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO202632,67,221,gram,oldukça iyi,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,6
CO202632,69,122,ungram,oldukça kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,1
CO202632,70,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO202632,72,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO202632,73,209,gram,oldukça iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,6
CO202632,75,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO202632,76,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO202632,78,217,gram,oldukça iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,6
CO202632,79,117,ungram,oldukça kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,1
CO202632,81,238,gram,oldukça iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,6
CO202632,82,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO202632,84,111,ungram,oldukça kötü,Zabıtalar işportacının ceza aldıklarına duydu.,1
